Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,TEC-020,15020.0,TechZone Sound Pro,26.0,5868.5,10.0,6455.35,586.85,9.09,152581.0,167839.1,15258.1,,,,Speaker
PRODUCT QUOTATION,TEC-021,15021.0,TechZone GamePad X,33.0,3298.0,10.0,3627.8,329.8,9.09,108834.0,119717.4,10883.4,,,,Gaming
PRODUCT QUOTATION,TEC-022,15022.0,TechZone GameStation,10.0,41710.0,10.0,45881.0,4171.0,9.09,417100.0,458810.0,41710.0,,,,Gaming
PRODUCT QUOTATION,TEC-023,15023.0,TechZone Vision 55,17.0,41710.0,10.0,45881.0,4171.0,9.09,709070.0,779977.0,70907.0,,,,TV
PRODUCT QUOTATION,TEC-024,15024.0,TechZone Laptop Carry,24.0,1697.5,10.0,1867.25,169.75,9.09,40740.0,44814.0,4074.0,,,,Bag
PRODUCT QUOTATION,TEC-025,15025.0,TechZone Mesh Pro,31.0,4995.5,10.0,5495.05,499.55,9.09,154860.5,170346.55,15486.05,,,,Router
PRODUCT QUOTATION,TEC-026,15026.0,TechZone PowerBoost 20000,38.0,2114.6,10.0,2326.06,211.46,9.09,80354.8,88390.28,8035.48,,,,Power
WARRANTY OPTIONS,,,,,,,,,,,,Category,1-Year Extended (INR),2-Year Extended (INR),,
WARRANTY OPTIONS,,,,,,,,,,,,Laptop,499,899,,
WARRANTY OPTIONS,,,,,,,,,,,,Phone,299,549,,
WARRANTY OPTIONS,,,,,,,,,,,,Camera,399,699,,
WARRANTY OPTIONS,,,,,,,,,,,,Gaming,249,449,,
WARRANTY OPTIONS,,,,,,,,,,,,TV,599,999,,
WARRANTY OPTIONS,,,,,,,,,,,,Tablet,349,599,,
WARRANTY OPTIONS,,,,,,,,,,,,Monitor,299,499,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Primary Category,Recommended Bundle SKU(s),Notes,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Laptop,"Ergo Pro (Mouse), Laptop Carry (Bag)",Pair with any laptop purchase to sweeten an offer without cutting price,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Phone,PowerBoost 20000 (Power Bank),Useful gift-with-purchase for phone buyers,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Camera,"Laptop Carry (Bag, repurposed as camera bag)",No dedicated camera bag SKU yet; existing bag works as a stopgap bundle item,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Gaming,GamePad X (for GameStation purchases),Cross-sell within the gaming category,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Tablet,PowerBoost 20000 (Power Bank),Extends tablet battery life on the go,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL STOCK UNITS,633,All products,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL WHOLESALE INVENTORY COST,15226419.8,Cost of current listed stock,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL EXPECTED SALES REVENUE,16749061.78,If all current stock sells at target price,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL GROSS PROFIT BEFORE SHOP EXPENSES,1522641.98,10% markup on wholesale cost,,
PROFITABILITY SUMMARY,,,,,,,,,,,,MONTHLY SHOP OPERATING EXPENSES,175000,Assumptions below,,
PROFITABILITY SUMMARY,,,,,,,,,,,,AVERAGE MONTHLY OVERHEAD PER CURRENT STOCK UNIT,276.46,Monthly expenses / 633 units,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT AFTER MONTHLY SHOP EXPENSES,1347641.98,Only if all current stock sells within the month,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT MARGIN,8.05,Net profit / expected revenue,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop rent / lease,60000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Electricity,12000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Internet + phone,2000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop staff salaries,50000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Security / housekeeping,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop maintenance / repairs,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Packaging / bags / consumables,5000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Local transport / delivery,8000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Marketing / promotions,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,POS / software / subscriptions,3000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Miscellaneous / contingency,5000,Monthly assumption,,
