Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,DIG-013,,DigiWorld Creator X,21,50925.0,10.0,56017.5,5092.5,9.09,1069425.0,1176367.5,106942.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,DIG-014,,DigiWorld Mechanical Pro,34,4171.0,10.0,4588.1,417.1,9.09,141814.0,155995.4,14181.4,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Keyboard
PRODUCT QUOTATION,DIG-015,,DigiWorld Ergo Pro,17,1697.5,10.0,1867.25,169.75,9.09,28857.5,31743.25,2885.75,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Mouse
PRODUCT QUOTATION,DIG-016,,DigiWorld View 27,12,14259.0,10.0,15684.9,1425.9,9.09,171108.0,188218.8,17110.8,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,DIG-017,,DigiWorld UltraView 32,21,25220.0,10.0,27742.0,2522.0,9.09,529620.0,582582.0,52962.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,DIG-018,,DigiWorld Tab Air,11,16781.0,10.0,18459.1,1678.1,9.09,184591.0,203050.1,18459.1,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,DIG-019,,DigiWorld Tab Pro,38,27645.0,10.0,30409.5,2764.5,9.09,1050510.0,1155561.0,105051.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,DIG-020,,DigiWorld Sound Pro,23,5868.5,10.0,6455.35,586.85,9.09,134975.5,148473.05,13497.55,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Speaker
PRODUCT QUOTATION,DIG-021,,DigiWorld GamePad X,27,3298.0,10.0,3627.8,329.8,9.09,89046.0,97950.6,8904.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,DIG-022,,DigiWorld GameStation,25,41710.0,10.0,45881.0,4171.0,9.09,1042750.0,1147025.0,104275.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,DIG-023,,DigiWorld Vision 55,31,41710.0,10.0,45881.0,4171.0,9.09,1293010.0,1422311.0,129301.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,TV
PRODUCT QUOTATION,DIG-024,,DigiWorld Laptop Carry,15,1697.5,10.0,1867.25,169.75,9.09,25462.5,28008.75,2546.25,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Bag
PRODUCT QUOTATION,DIG-025,,DigiWorld Mesh Pro,24,4995.5,10.0,5495.05,499.55,9.09,119892.0,131881.2,11989.2,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Router
PRODUCT QUOTATION,DIG-026,,DigiWorld PowerBoost 20000,25,2114.6,10.0,2326.06,211.46,9.09,52865.0,58151.5,5286.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Power
