Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,SMA-011,,SmartBuy Prime,35,7663.0,10.0,8429.3,766.3,9.09,268205.0,295025.5,26820.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,SMA-012,,SmartBuy Snap Pro,22,33465.0,10.0,36811.5,3346.5,9.09,736230.0,809853.0,73623.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,SMA-013,,SmartBuy Creator X,17,50925.0,10.0,56017.5,5092.5,9.09,865725.0,952297.5,86572.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,SMA-014,,SmartBuy Mechanical Pro,12,4171.0,10.0,4588.1,417.1,9.09,50052.0,55057.2,5005.2,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Keyboard
PRODUCT QUOTATION,SMA-015,,SmartBuy Ergo Pro,15,1697.5,10.0,1867.25,169.75,9.09,25462.5,28008.75,2546.25,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Mouse
PRODUCT QUOTATION,SMA-016,,SmartBuy View 27,32,14259.0,10.0,15684.9,1425.9,9.09,456288.0,501916.8,45628.8,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,SMA-017,,SmartBuy UltraView 32,34,25220.0,10.0,27742.0,2522.0,9.09,857480.0,943228.0,85748.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,SMA-018,,SmartBuy Tab Air,30,16781.0,10.0,18459.1,1678.1,9.09,503430.0,553773.0,50343.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,SMA-019,,SmartBuy Tab Pro,33,27645.0,10.0,30409.5,2764.5,9.09,912285.0,1003513.5,91228.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,SMA-020,,SmartBuy Sound Pro,36,5868.5,10.0,6455.35,586.85,9.09,211266.0,232392.6,21126.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Speaker
PRODUCT QUOTATION,SMA-021,,SmartBuy GamePad X,17,3298.0,10.0,3627.8,329.8,9.09,56066.0,61672.6,5606.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,SMA-022,,SmartBuy GameStation,22,41710.0,10.0,45881.0,4171.0,9.09,917620.0,1009382.0,91762.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,SMA-023,,SmartBuy Vision 55,22,41710.0,10.0,45881.0,4171.0,9.09,917620.0,1009382.0,91762.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,TV
PRODUCT QUOTATION,SMA-024,,SmartBuy Laptop Carry,39,1697.5,10.0,1867.25,169.75,9.09,66202.5,72822.75,6620.25,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Bag
PRODUCT QUOTATION,SMA-025,,SmartBuy Mesh Pro,20,4995.5,10.0,5495.05,499.55,9.09,99910.0,109901.0,9991.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Router
PRODUCT QUOTATION,SMA-026,,SmartBuy PowerBoost 20000,38,2114.6,10.0,2326.06,211.46,9.09,80354.8,88390.28,8035.48,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Power
