Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,LAP-015,,LaptopHub Ergo Pro,18,1697.5,10.0,1867.25,169.75,9.09,30555.0,33610.5,3055.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Mouse
PRODUCT QUOTATION,LAP-016,,LaptopHub View 27,10,14259.0,10.0,15684.9,1425.9,9.09,142590.0,156849.0,14259.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,LAP-017,,LaptopHub UltraView 32,14,25220.0,10.0,27742.0,2522.0,9.09,353080.0,388388.0,35308.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,LAP-018,,LaptopHub Tab Air,17,16781.0,10.0,18459.1,1678.1,9.09,285277.0,313804.7,28527.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,LAP-019,,LaptopHub Tab Pro,30,27645.0,10.0,30409.5,2764.5,9.09,829350.0,912285.0,82935.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,LAP-020,,LaptopHub Sound Pro,23,5868.5,10.0,6455.35,586.85,9.09,134975.5,148473.05,13497.55,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Speaker
PRODUCT QUOTATION,LAP-021,,LaptopHub GamePad X,22,3298.0,10.0,3627.8,329.8,9.09,72556.0,79811.6,7255.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,LAP-022,,LaptopHub GameStation,14,41710.0,10.0,45881.0,4171.0,9.09,583940.0,642334.0,58394.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,LAP-023,,LaptopHub Vision 55,13,41710.0,10.0,45881.0,4171.0,9.09,542230.0,596453.0,54223.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,TV
PRODUCT QUOTATION,LAP-024,,LaptopHub Laptop Carry,30,1697.5,10.0,1867.25,169.75,9.09,50925.0,56017.5,5092.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Bag
PRODUCT QUOTATION,LAP-025,,LaptopHub Mesh Pro,12,4995.5,10.0,5495.05,499.55,9.09,59946.0,65940.6,5994.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Router
PRODUCT QUOTATION,LAP-026,,LaptopHub PowerBoost 20000,19,2114.6,10.0,2326.06,211.46,9.09,40177.4,44195.14,4017.74,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Power
