Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,PRI-013,19013.0,PrimeElectro Creator X,23.0,48825.0,10.0,53707.5,4882.5,9.09,1122975.0,1235272.5,112297.5,,,,Camera
PRODUCT QUOTATION,PRI-014,19014.0,PrimeElectro Mechanical Pro,30.0,3999.0,10.0,4398.9,399.9,9.09,119970.0,131967.0,11997.0,,,,Keyboard
PRODUCT QUOTATION,PRI-015,19015.0,PrimeElectro Ergo Pro,37.0,1627.5,10.0,1790.25,162.75,9.09,60217.5,66239.25,6021.75,,,,Mouse
PRODUCT QUOTATION,PRI-016,19016.0,PrimeElectro View 27,14.0,13671.0,10.0,15038.1,1367.1,9.09,191394.0,210533.4,19139.4,,,,Monitor
PRODUCT QUOTATION,PRI-017,19017.0,PrimeElectro UltraView 32,21.0,24180.0,10.0,26598.0,2418.0,9.09,507780.0,558558.0,50778.0,,,,Monitor
PRODUCT QUOTATION,PRI-018,19018.0,PrimeElectro Tab Air,28.0,16089.0,10.0,17697.9,1608.9,9.09,450492.0,495541.2,45049.2,,,,Tablet
PRODUCT QUOTATION,PRI-019,19019.0,PrimeElectro Tab Pro,35.0,26505.0,10.0,29155.5,2650.5,9.09,927675.0,1020442.5,92767.5,,,,Tablet
PRODUCT QUOTATION,PRI-020,19020.0,PrimeElectro Sound Pro,12.0,5626.5,10.0,6189.15,562.65,9.09,67518.0,74269.8,6751.8,,,,Speaker
PRODUCT QUOTATION,PRI-021,19021.0,PrimeElectro GamePad X,19.0,3162.0,10.0,3478.2,316.2,9.09,60078.0,66085.8,6007.8,,,,Gaming
PRODUCT QUOTATION,PRI-022,19022.0,PrimeElectro GameStation,26.0,39990.0,10.0,43989.0,3999.0,9.09,1039740.0,1143714.0,103974.0,,,,Gaming
PRODUCT QUOTATION,PRI-023,19023.0,PrimeElectro Vision 55,33.0,39990.0,10.0,43989.0,3999.0,9.09,1319670.0,1451637.0,131967.0,,,,TV
PRODUCT QUOTATION,PRI-024,19024.0,PrimeElectro Laptop Carry,10.0,1627.5,10.0,1790.25,162.75,9.09,16275.0,17902.5,1627.5,,,,Bag
PRODUCT QUOTATION,PRI-025,19025.0,PrimeElectro Mesh Pro,17.0,4789.5,10.0,5268.45,478.95,9.09,81421.5,89563.65,8142.15,,,,Router
PRODUCT QUOTATION,PRI-026,19026.0,PrimeElectro PowerBoost 20000,24.0,2027.4,10.0,2230.14,202.74,9.09,48657.6,53523.36,4865.76,,,,Power
WARRANTY OPTIONS,,,,,,,,,,,,Category,1-Year Extended (INR),2-Year Extended (INR),,
WARRANTY OPTIONS,,,,,,,,,,,,Laptop,499,899,,
WARRANTY OPTIONS,,,,,,,,,,,,Phone,299,549,,
WARRANTY OPTIONS,,,,,,,,,,,,Camera,399,699,,
WARRANTY OPTIONS,,,,,,,,,,,,Gaming,249,449,,
WARRANTY OPTIONS,,,,,,,,,,,,TV,599,999,,
WARRANTY OPTIONS,,,,,,,,,,,,Tablet,349,599,,
WARRANTY OPTIONS,,,,,,,,,,,,Monitor,299,499,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Primary Category,Recommended Bundle SKU(s),Notes,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Laptop,"Ergo Pro (Mouse), Laptop Carry (Bag)",Pair with any laptop purchase to sweeten an offer without cutting price,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Phone,PowerBoost 20000 (Power Bank),Useful gift-with-purchase for phone buyers,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Camera,"Laptop Carry (Bag, repurposed as camera bag)",No dedicated camera bag SKU yet; existing bag works as a stopgap bundle item,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Gaming,GamePad X (for GameStation purchases),Cross-sell within the gaming category,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Tablet,PowerBoost 20000 (Power Bank),Extends tablet battery life on the go,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL STOCK UNITS,629,All products,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL WHOLESALE INVENTORY COST,14810361.6,Cost of current listed stock,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL EXPECTED SALES REVENUE,16291397.76,If all current stock sells at target price,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL GROSS PROFIT BEFORE SHOP EXPENSES,1481036.16,10% markup on wholesale cost,,
PROFITABILITY SUMMARY,,,,,,,,,,,,MONTHLY SHOP OPERATING EXPENSES,175000,Assumptions below,,
PROFITABILITY SUMMARY,,,,,,,,,,,,AVERAGE MONTHLY OVERHEAD PER CURRENT STOCK UNIT,278.22,Monthly expenses / 629 units,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT AFTER MONTHLY SHOP EXPENSES,1306036.16,Only if all current stock sells within the month,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT MARGIN,8.02,Net profit / expected revenue,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop rent / lease,60000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Electricity,12000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Internet + phone,2000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop staff salaries,50000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Security / housekeeping,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop maintenance / repairs,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Packaging / bags / consumables,5000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Local transport / delivery,8000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Marketing / promotions,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,POS / software / subscriptions,3000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Miscellaneous / contingency,5000,Monthly assumption,,
