Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Primary Category,Recommended Bundle SKU(s),Notes,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Laptop,"Ergo Pro (Mouse), Laptop Carry (Bag)",Pair with any laptop purchase to sweeten an offer without cutting price,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Phone,PowerBoost 20000 (Power Bank),Useful gift-with-purchase for phone buyers,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Camera,"Laptop Carry (Bag, repurposed as camera bag)",No dedicated camera bag SKU yet; existing bag works as a stopgap bundle item,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Gaming,GamePad X (for GameStation purchases),Cross-sell within the gaming category,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Tablet,PowerBoost 20000 (Power Bank),Extends tablet battery life on the go,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL STOCK UNITS,652,All products,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL WHOLESALE INVENTORY COST,17318545.62,Cost of current listed stock,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL EXPECTED SALES REVENUE,19050400.9,If all current stock sells at target price,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL GROSS PROFIT BEFORE SHOP EXPENSES,1731855.28,10% markup on wholesale cost,,
PROFITABILITY SUMMARY,,,,,,,,,,,,MONTHLY SHOP OPERATING EXPENSES,175000,Assumptions below,,
PROFITABILITY SUMMARY,,,,,,,,,,,,AVERAGE MONTHLY OVERHEAD PER CURRENT STOCK UNIT,268.4,Monthly expenses / 652 units,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT AFTER MONTHLY SHOP EXPENSES,1556855.28,Only if all current stock sells within the month,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT MARGIN,8.17,Net profit / expected revenue,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop rent / lease,60000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Electricity,12000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Internet + phone,2000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop staff salaries,50000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Security / housekeeping,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop maintenance / repairs,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Packaging / bags / consumables,5000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Local transport / delivery,8000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Marketing / promotions,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,POS / software / subscriptions,3000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Miscellaneous / contingency,5000,Monthly assumption,,
